Cadena     Estado      Conta
_*|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  1  1
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  2
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  3
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  4
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  5
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  6
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  7
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  8
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  9
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  10
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  11
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  12
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  13
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  14
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  15
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  16
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  17
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  18
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  19
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  20
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  21
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  22
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  23
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  24
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  25
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  26
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  27
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  28
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  29
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  30
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  31
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  32
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  33
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  34
_X|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*||||||||||||||*_  2  35
